Rank,Name,Symbol,marketcap,price (USD),country,page numbers,Report link,sector,industry
866,Juventus Turin,JUVE.MI,1063226468,2.80445,Italy,,,,
868,AMS-Osram,AMS.SW,1057628692,10.6216,Austria,,,,
869,Montepino Logística,MLMTP.PA,1057313316,12.2961,Spain,,,,
870,Gerresheimer,GXI.F,1053596579,30.5037,Germany,,,,
872,Curevac,CVAC,1049304960,4.66,Germany,,,,
874,Creades AB,CRED-A.ST,1044210104,7.69145,Sweden,,,,
875,Synsam,SYNSAM.ST,1040059250,7.29773,Sweden,,,,
876,BKS Bank,BKS.VI,1037624576,22.7004,Austria,,,,
880,HelloFresh,HFG.DE,1027019402,7.16481,Germany,,,,
882,Viridien,VIRI.PA,1025295382,142.705,France,,,,
883,Northern Data AG,NB2.DE,1022022135,15.1336,Germany,,,,
884,LuxExperience,LUXE,1019853696,7.43,Germany,,,,
886,Navigo Invest,NAVIGO-STAM.ST,1012545596,0.207354,Sweden,,,,
888,Nanobiotix,NBTX,1008888832,20.85,France,,,,
890,BFF Bank,BFF.MI,992041789,5.25183,Italy,,,,
891,Pierre et Vacances,VAC.PA,989466429,2.14235,France,,,,
893,Criteo,CRTO,981604288,19.19,France,,,,
894,NEUCA,NEU.WA,976501720,216.94,Poland,,,,
895,Safilo Group,SFL.MI,973690103,2.48286,Italy,,,,
896,BASSAC,BASS.PA,967805856,60.2979,France,,,,
897,Ålandsbanken,ALBAV.HE,964742512,62.6626,Finland,,,,
898,Asseco South Eastern Europe,ASE.WA,962890123,18.5549,Poland,,,,
899,Sto SE &amp; Co. KGaA,STO3.DE,960329176,149.444,Germany,,,,
900,GAG Immobilien,GWK3.HM,954503950,59.1156,Germany,,,,
901,Cancom,COK.F,950155234,30.149,Germany,,,,
903,Nagarro,NA9.DE,945085477,71.9437,Germany,,,,
904,GH Research,GHRS,940675776,15.165,Ireland,,,,
906,Caisse Régionale de Crédit Agricole Mutuel Loire Haute-Loire,CRLO.PA,938978690,115.867,France,,,,
907,Volati AB,VOLO.ST,938578350,10.5346,Sweden,,,,
908,Paul Hartmann,PHH2.F,936437078,263.656,Germany,,,,
910,Karnov Group,KAR.ST,921682119,8.55099,Sweden,,,,
912,Renta 4 Banco,R4.MC,914129695,22.4639,Spain,,,,
914,MedCap,MCAP.ST,906162271,60.3338,Sweden,,,,
915,Crédit Agricole Mutuel de la Touraine et du Poitou,CRTO.PA,905496581,144.833,France,,,,
917,Kri-Kri Milk Industry,KRI.AT,895586114,27.1341,Greece,,,,
920,Ascopiave,ASC.MI,872609524,4.03169,Italy,,,,
921,Core Laboratories,CLB,870349632,18.56,Netherlands,,,,
923,Sveafastigheter AB,SVEAF.ST,865524300,4.32762,Sweden,,,,
924,Bergman &amp; Beving,BERG-B.ST,864075152,32.4405,Sweden,,,,
927,Burelle,BUR.PA,858061290,489.477,France,,,,
928,innoscripta SE,1INN.DE,856131377,84.89,Germany,,,,
929,Mensch und Maschine,MUM.F,853622680,50.4848,Germany,,,,
931,EuroTeleSites,ETS.VI,848498443,5.10759,Austria,,,,
935,PSI Software,PSAN.DE,835316395,53.5588,Germany,,,,
937,Trustpilot Group,TRST.L,833459183,2.12137,Denmark,,,,
938,Patrizia Immobilien,P1Z.VI,827975009,9.57673,Germany,,,,
939,Citycon,CTY1S.HE,825604784,4.49752,Finland,,,,
940,Elior Group,ELIOR.PA,823440074,3.25372,France,,,,
941,Valneva SE,VALN,822856192,9.49,France,,,,
946,PNE AG,PNE3.DE,818744571,10.6881,Germany,,,,
947,Mips AB,MIPS.ST,816783821,30.8324,Sweden,,,,
949,Tsakos Energy Navigation,TEN,813144000,26.99,Greece,,,,
952,Admie Holding,ADMIE.AT,812532001,3.50556,Greece,,,,
953,Placoplatre,MLPLC.PA,810447801,620.714,France,,,,
955,Logistea AB,LOGI-A.ST,809908888,1.58044,Sweden,,,,
956,Groupe CRIT,CEN.PA,807179927,76.6139,France,,,,
957,Mutares,MUX.DE,797434795,37.302,Germany,,,,
